Rank;NOME
563;CASCIARO FRANCESCA
564;BARRACO LISA
565;RAGUSA CHIARA
566;CORSO CECILIA
567;FRIGNOLI FEDERICA
568;FIORE SARA
569;SALIMBENI GIULIA
570;LEONARDI MARTINA
571;GIULIANI ARIANNA
572;LAMONACA KAJA
573;GIANGIULIO MARTINA
574;CARROZZA GINEVRA
575;CECCHET IRENE SOFIA
576;HAGBE NTOT MBENOUN SONIA GISELE
577;BONSI IRMA
578;LO BUE SIMONA
579;MANCINELLI MELINDA
580;BELLIN SARA
581;PAROLIN MARIA SOFIA
582;SANTANGELO MARTA
583;TUMMINELLO VALENTINA FRANCESCA
584;MARI MARIANNA
585;PARENTI CAMILLA
586;PIERACCIANI AURORA
587;BASSI ANNA
588;MORSIANI BIANCA
589;BERTUZZO ANNA PAOLA
590;BONZANO EVITA
591;UGOLINI MARGHERITA
592;GUARINI LUCIA
593;MENSA MARCELLA MARIA
594;FREGONESE VERONICA
595;MANGIAROTTI PAOLA
596;MAZZONI ANNA
597;DI GIOIA ANNA
598;AGOSTINI ELISA
599;LABROZZI GIULIA
600;DI BARTOLOMEO SOFIA
601;BUCCIFERRI LUDOVICA
602;MILANESE MICHELLE
603;GIORGI GIADA
604;MATTIELLO LICIA
605;RAMETTA GIULIA
606;ALLARA CECILIA
607;BERTOLO GAIA
608;JAMAI ASMAA
609;SATTIER ELEONORA
610;ALBERGHINI SOFIA
610;CASADIO MARIAGRAZIA
612;DOMENICHINI LIA
613;DA ROZZE MADDALENA
614;MUNARO GIORGIA
615;CHRAIM ELISSA
616;BRACEY VICTORIA
617;MANTI FEDERICA
618;BARBERO GIADA
619;RE MATILDE
620;DALTO GIULIA
621;RICCHETTI CECILIA
622;LULLI ANNA
623;BRUNETTI SOFIA
624;DI MATTEO MARTINA CARLOTTA
625;ZANARDO SARA
626;BUNTINA IRINA
627;DE MEO LARA
628;VENTRELLA CARLOTTA
629;BOCCANERA GIADA
630;BATTOCCHIO ELENA
631;IANNICIELLO CLAUDIA
632;PICARONE LUDOVICA
633;CALO' MAIA
634;PEGORARO GIOVANNA
635;FIORENZA DEBORAH
636;JAMAI AMINA
637;ANTOGNOLI ALESSANDRA
638;CITARELLA CAROLA
639;BIGATTI MARIA ELVIRA
640;MESSINA FLAVIA
641;DANIELE REBECCA
642;CHIRICO SARA
643;VIOLATI FLAVIA
644;NISTRI FRANCESCA
645;LOLLI BEATRICE
646;DI CESARE ELENA
647;CALLOCCHIA LARA
648;MARTIN ASIA
649;CORSINI ROBERTA
650;PATINI GIORGIA
651;ELVO LUCREZIA
652;GAUDIO VIRGINIA
653;PALOMBA ELISA
654;CETRONI MARIA VITTORIA
655;DE CURTIS NINA
656;LANZARO MARTINA
657;BARONI ALESSIA
658;PAGANO CLAUDIA
659;ROSSI CHIARA
660;PLATANIA GIULIA
661;CIMAGLIA ALLEGRA
662;PISANO FIORENZA ANDREA
663;KHOSHTARIA ELISA
664;PIGLIONICO MATILDE
665;CERRI ELISA
666;GIRONI SOFIA
667;GIANNERI GIADA
668;ROSSAROLA MARTINA
669;KIRPU ERIKA
670;PIGANI ANNA
671;FERRENTINO ALESSANDRA
672;SCUDERI AURORA
673;NISI ARIANNA MARIA
674;CARUSO GLORIA
675;MEROLA SERENA
676;BARISELLI SERENA
677;CENNAME FLORA
678;CARTA MARIA CARMEN
679;RUSSO ALICE
680;PERINI GRETA ELENA
681;ARAMINI SARA
682;VESTRI VIOLA
683;MARCOZZI ALICE
684;CIUFFETTI ANDREA VITTORIA
685;BOERO LUDOVICA SOFIA
686;PISONI AGNESE
687;CHINNICI ELISA
688;CALLEGARI ANNA
689;SCORDO MATILDA
690;TAGLIABUE MATILDE
691;TASSISTO CHIARA
692;SALA ELISA
693;GUZZINATI ALICE
694;GASPARI LUCIA
695;CORVASCE GEMMA
696;SALOMONI BIANCA
697;AMBROSET CARLA
698;CANTONI LUCIA
699;OTTINO VITTORIA
700;SIMONE SILVIA
701;ENGEL RENATE
702;LAZZAROTTI GAIA
703;DI MAIO LUDOVICA
704;FISCHETTI BENEDETTA
705;VIGNATI SARAH ELISA
706;DANIELE ELENA
707;GALLINA NICOLE
708;ALDEGHERI SILVIA
709;MACRIPO' MARTINA
710;FONTANA FEDERICA
711;LINO SPARTANO VIRGINIA
712;GRAVAGNUOLO VALENTINA
713;CASCIARO GIORGIA
714;GARELLO BIANCA MARIA
715;ANDRUETTO FRANCESCA
716;GRILLO LOREDANA
717;VALORZI DANIELA
718;MONTANARI SOFIA
719;MAIOCCHI AMELIE
720;BOZZELLA MELISSA
721;HEIM MARTINA
722;SHREYA SHREYA
723;ALECCI ROSAMARIA
724;VALERIANO MARIANNA
725;FERRIELLO ILENA MARGARET
726;OTTOLIA MADDALENA
727;PARODI ELEONORA
728;ROLLERO IRENE
729;UGHI VERONICA
730;BIERTI BEATRICE
731;ZANUTTINI LUDOVICA
732;TAMBÈ ALICE
733;ARREGHINI NICOLETTA
734;BOSCHI ELENA
735;CUTINI CALISTI EVA
736;ZAMPARO VIOLA
737;D'AMBROSIO MARIA TERESA
738;SONZOGNO ENRICA
739;DE GIULI FLAMINIA
740;DI MINICA GINEVRA
741;D'ALESSANDRI ELISABETTA
742;MARTINESCU VALENTINA
743;SAMMARTINO LEANDRA
744;D'AVELLI TERESA
745;BORGIA CRISTINA
746;LORENZI ROBERTA
747;MASCAGNI MARTINA
748;PANACCIO MATILDE
749;PARISELLA ALESSIA
750;ORTU ELEONORA
751;MOISE' MARTA
752;SANTANDREA ANNA
753;FERRI SARA
754;BERNARDINETTI MARIA
755;TAL SHARON
756;FREZZA ALESSANDRA
757;ALFIERI MARTINA
758;SCASSELLATI CAMILLA
759;DE ANGELIS LIVIA
760;RACITI MARIA CRISTINA
761;SCIALDONE ARIANNA
762;VALZECCHI NOEMI
763;PASQUINI ELISABETTA
764;GIOIA TERESA
765;FALQUI EUGENIA
766;PAPARELLI ARIANNA
767;DE VITO CRISTINA
768;VERSARI CARLOTTA
769;MANZITTO MARTA
770;ORIGGI STELLA
771;GRECO CONCETTA
772;SPADARI MATILDE
773;FINOCCHIARO MARIA  CHIARA
774;MUNCACIU LAURA
775;CARNEVALI LUNA
776;LULLIA MARTINA
777;FIORUCCI ALESSIA
778;RESETNEAC MARIA
779;VANZELLA SARA
780;CALZAVARA ANNA
781;D'ANDREA LUDOVICA
782;MARCOMINI VITTORIA
783;NARDINI ISABELLA
784;D'ANDREA SUSANNA
785;ZULIANI LETIZIA
786;LUCARELLI BIANCA
787;AMADEI VIOLA
788;CANTO ALESSIA
789;LENA LUCIA
790;FESTA GIULIA
791;CIRIELLO GAIA
792;ZAMBIANCHI ELEONORA
793;PESCE DIAMARA
794;D'ASCANIO ELENA
795;ZANNONI MARTA
796;SANTANGELO MATILDE
797;CITTI VERONICA
798;MASSARO SARA
799;FRIZZO MATILDA
800;CARRA CATERINA
801;MAZZARI EMMA
802;LA LUMIA MARGHERITA
803;GARBARINO VALENTINA
804;ROMAGNOLI ANGELA
805;SENO KARINA
806;SARTORI ADELE VELLEDA
807;MORNI ALESSIA
808;ZULIANI GAIA
809;BINGELI SIMGE
810;ORLANDI ROSA MARIA THAM
811;MOSCHETTA ANNA MARIA
812;GAUDINA GEORGIANA
813;MOSCA FEDERICA
814;IMBRAGUGLIO GIORGIA
815;INZERILLO ALESSIA
816;BULGARELLI MATILDE
817;ASQUINI ALESSANDRA
818;BOLOGNESI VIOLA
819;MARTINESCU NICOL
820;ROBERTI ELISABETTA
821;DE DONNO ILARIA
822;BUNIOTTO CLIZIA
823;LUCCHI ELISA
824;DALIA MARILINDA
825;TIBI CATERINA
826;CULICELLI CLAUDIA
827;RIBOLDI UMBERTA EMANUELA
828;FIASCHI GINEVRA
829;ROVATI BEATRICE
830;BRANCA FABIOLA GIUSEPPINA
831;ZANOTTI PAOLA
832;MACILLIS CATERINA
833;BRESCIANI AURORA
834;PODANO GIULIA
835;SALZANO SERENA
836;ROSSI SILVIA
837;LANZETTA ALESSIA
838;DE TROIA BEATRICE
838;RETILLO LAVINIA
840;MANCINI ASIA MARIA
841;TOMASELLI MISIA
842;ARCANGELI LIVIA
843;BALDONI ELISABETTA
844;BELLUOMINI MARTA
845;SALIMBENI SOFIA
846;GUGLIELMINO ALESSANDRA
847;GRAVANO MATILDE
848;CIANI TERESA
849;KUMARI SIZA
850;FERRO EMMA
851;MIGNACCO GIOVANNA
851;SACCANI CHIARA STENELLA
853;GERVASINI ANTONELLA
854;ALBA GIADA
855;MARGOTTI BIANCA
856;CARU' ESTER
857;CONCAS NOEMI
858;GABELLA BARBARA
859;DOUVLI SMITH JESSICA LOUISE
860;CONTI LUCREZIA
861;EGLEZ VICTORIA
862;KARMAOUI MANAL
863;CASTIGLIONI ASTRID
864;D'ANTONA PAOLA
865;MALLARDI VALENTINA
866;BONGIOVANNI MARIACHIARA
867;PAGANO ANNA
868;BOMBANA JESSICA
869;ROBBIATI MARTINA
870;FERDINANDI SOFIA
871;MASINI ARIANNA
872;BONELLI CLAUDIA
873;SANTORO COSTANZA
874;AMBROSINI SOFIA
875;MOCCIA FEDERICA
876;FEDELE ESTERINA
877;LOMBARDI EMMA
878;MATTAINI FRANCESCA
879;D'ANDREA DANIELA
880;AGOSTINELLI FEDERICA THUY
881;COLLA BARBARA DEBORA
882;GIRGENTI LUCIA
883;ADAMI ELISABETTA
884;GENOVESI MATILDE
885;CERQUETTI ALICE
886;SGUBIN ELISABETTA
886;PORCELLI FRANCESCA
886;VISINTIN ELENA
889;RISPOLI DORINA
890;GENTILE SWAMY
890;BUSLETTA ARIANNA
892;SPINELLI NARA
893;DI PAOLO CAROLINA
894;D'AMICO NICOLE
895;GANZERLI GINEVRA
896;DI LIBERTO MARGHERITA
897;IANNOTTI LORENZA
898;MENOTTI GIULIA
899;GROHOVAZ STELLA
900;MAGGIONI MATILDE AMALIA
901;CASTAGNA GIULIA
902;ZUPA MARIA
903;AMODIO MARGHERITA
904;DIVITTORIO MARINA
905;LAZZARINI ALESSIA
906;FIORINI GIULIA
907;SATTIER BEATRICE
908;MARICONDA LORELLA
909;PORTO BEATRICE
910;CHUBINIDZE NATIA
911;CONSOLO ISABELLA
912;CONSALES CHIARA MARIA
913;POLO GIULIA
914;BRUSCO CARMEN
915;CASSONE GINEVRA
916;CIANCARELLA NORA
917;MARINI MARIA ADELAIDE
918;ANTONINI MICOL
919;D'AMATA MARIA
920;GRIECO VIOLA
921;BRUN ELISA
922;CASTRUCCI COTICHINI GIULIA
923;LAFFI MARTINA
923;MARMIROLI CINZIA
925;PIRAS CHIARA
925;BUA MARTINA
927;MANNIAS GIADA
928;MORGAN ANNA LUNA
929;CONTESSA CRISTINA
930;BOLDRINI FRIDA
931;BONGIOVANNI JESSICA
932;ALLARA ANNACHIARA
933;TAVERNA MANUELA
934;FRAGIACOMO GAIA GINEVRA
935;AMOROSO ELISABETTA FRANCESCA
936;ALFIERI BEATRICE
937;SALTAFUORI LEA
938;MANZI CARMEN
939;ESPOSITO AURORA
940;BUCCHERI MARTA
941;FRACCALVIERI BEATRICE
942;PENNA ELISA
943;DE PICCOLI VIOLA
944;GHIDELLA SILVIA
945;SUELLA BEATRICE
945;D'AMORE CLAUDIA
947;IOVACCHINI FLAVIA
948;REY REBECCA
949;CIAPPARELLI MARTA
950;COSTANTINI LINDA
951;COLOMBO CECILIA ERMINIA
952;MORONI VIVIANA FRANCESCA
953;TESTA PAOLA
954;NAPOLITANO CATERINA
955;CAPUTO GIULIA
956;MAURO SOPHIA ELENA
957;VISAGGI GIULIA
958;BIANCO CLARISSA
959;SCALABRINI FRANCESCA
960;SALIERNO ALESSANDRA
961;MASCHERONI ASIA
962;PEPE SANEL
963;AZZALI PETRA MARIA
964;RUGGERI AURORA
965;MARCHETTI VIOLA
966;RUSSO SERENA
967;GULINO ADA MARIA
968;BIGOTTO ANTONELLA
969;SCARSO VIRGINIA
970;GALLASTRONI FLORA
971;BARDI IRENE
972;GIACCHERINI VIOLA
973;BARONE FRANCESCA
974;PARAVISI MARIA ROSA
975;SCIASCIA VERONICA
976;INNOCENTI GIULIA CATERINA
977;COSTAN DORIGON LARA
978;DE RIZ ALICE
979;PERAZZINI SOFIA ELDA
980;GRANDI SARA
981;LANOTTE FEDERICA
982;RICATTI VITTORIA
983;MARCHESI CAMILLA
984;DE LORENZI SOFIA MARIA
985;ADINOLFI SARA
986;FELICANI ELENA
987;COSTANTINI GAIA
988;BENETTON ELENA ANNA MARIA
989;BOUKHERISSE CHADA
990;BRATA AMINA IOANA
991;BON BARBARA
992;TIBERIO ROSARIA
993;PEDRAZZINI SILVIA
994;GHIDINI MARTA
995;MODENA NICOLETTA
996;GAROZZO GIULIA
997;PANDOLFI BIANCA
998;CERBONE RADKA MADDALENA
998;COLOMBO BENEDETTA
1000;ALLEGRETTI ELENA
1001;ZIGNONE MICHELA
1002;PORCINO ASIA
1003;MADINI SONIA
1004;PETERSEN-MAHRT ODELIA GABRIELE
1005;FONTANELLA TECLA
1006;SCARPARI CHIARA
1007;SPAGNOLO ANDREA CAROLINA
1008;ASTENGO GINEVRA
1009;GIUSTI SARA
1010;CARAFA VITTORIA
1011;CAMPANILE VALENTINA
1012;VIGNOLI THEA
1013;PROVOLO MARTINA
1014;SAMARDZIC NINA
1015;ANCARANI LUDOVICA
1016;CANCELLIERI VIOLA
1017;FRANCESCONI FEDERICA
1018;MASOTTI FRANCESCA
1019;BOGGIAN MARGHERITA
1020;CAPRETTA GARRIDO ANGELA PAOLA
1021;LANDI FLAVIA
1022;PITTERTSCHATSCHER LIVIA
1023;ARIAUDO FEDERICA
1024;MERCANTI SOFIA
1025;LANGELLA ILARIA CATERINA
1026;FLAIM GRAZIA
1027;SABBIONI SOFIA
1028;PERNA STEFANIA
1029;IRLANDESE EMILIA
1030;PACELLI SOFIA
1031;PARODI VALENTINA
1032;COZZI SIMONA
1033;DI TURSI LIVIA
1034;BAGNASACCO SIBILLA
1035;GHEORGHIV IOV ANASTASIA
1036;GANGI BENEDETTA
1037;FONTANA VITTORIA
1038;BOTTARO SERENA
1039;BRIGNOLA ROSSELLA
1039;PISANA BEATRICE
1039;VENUTI ALICE
1042;DOSSI FRANCESCA
1043;CALIENDO SARA
1044;CIUFFREDA NOEMI RITA
1045;ZUMMO GIADA
1046;RONCA GIULIA MARIA
1047;CHIOCCI EMMA
1048;BACCHIOCCHI SARAVEGA
1049;PELA' MARZIA
1050;MALESANI CATERINA
1051;FONTANA DARIA
1052;PAGANI EMMA
1053;PAPALINO ELISA
1054;CALLARI CHIARA
1055;ZENNARO NICOLE
1056;VITALI FABIANA
1057;CERADINI SARA
1058;TRESSO ELENA
1059;ARMAROLI FRANCESCA
1060;CARUSO CATERINA
1061;LEARDINI ASIA
1062;DE FALCO ANNA
1063;MANTERO FRANCESCA
1064;PASCALE SARA
1065;BALDINI MATILDE
1066;TAGLIAFERRO SOFIA
1067;FRANZESE ELENA
1068;DOZIO GIORGIA
1069;SCAJOLA EMMA
1070;CARUSI FULVIA
1071;ZACCAGNINI CARLOTTA
1072;STIGLIANI DARIA
1073;BROJBAN MELISSA
1074;CERASA SOFIA
1075;RILLO GIULIA
1076;CECALUPO GIORGIA
1077;ACACIA CARLA
1078;CECALUPO GIULIA
1079;ORLANDO SIMONA
1080;ORLANDO FRANCESCA
1081;BRANCACCIO VALENTINA
1082;GUARINO SABRINA
1083;MANIERO FRANCESCA
1084;DI GUIDA SIBILLA
1085;VITTIMBERGA FRANCESCA
1086;BELLUATI MARIA VITTORIA
1087;PALAZZI VERA SOFIA
1088;BOANO BEATRICE
1089;LA FERLA AGATA
1090;RAMELLA PRALUNGO LUCREZIA
1091;FODDANU VERONICA
1092;DE PASQUALE CHIARA ASSUNTA
1093;DI PIERRO LAURA
1094;CIVITELLI LARA
1095;MARINO SIRIA
1096;OLIVA FABIANA
1097;LILLO MILENA
1098;CARTOAFA' ALEXIA MARIA
1099;CAMBIERI CECILIA
1100;MELCARNE CANNIZZO DAFNE CONSTANZA
1101;SCOTTI REBECCA
1102;PENNISI ELEONORA
1103;D'ERRICO ANTONELLA
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;